Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	10377.6535	23601.205224	13223.551724	60452	37592	1
2	1	1	1	2	1	Sample	50	4073.153354	16867.748756	12794.595402	71120	37592	2
3	1	1	1	3	1	Sample	25	1969.88703	14336.783582	12366.896552	81534	37592	3
4	1	1	1	4	1	Sample	12.5	773.065474	12996.787313	12223.721839	91948	37084	4
5	1	1	1	5	1	Sample	6.25	191.868322	12306.309701	12114.441379	101346	37846	5
6	1	1	1	6	2	Sample	100	9222.822294	21788.187811	12565.365517	112268	37846	6
7	1	1	1	7	2	Sample	50	2944.301947	15401.389303	12457.087356	123190	37846	7
8	1	1	1	8	2	Sample	25	1306.856219	13497.589552	12190.733333	133604	37592	8
9	1	1	1	9	2	Sample	12.5	583.071942	12802.993781	12219.921839	144272	37846	9
10	1	1	1	10	2	Sample	6.25	101.815028	12298.258706	12196.443678	154432	37846	10
11	1	1	1	11	1057	PosCtrl	100	9302.945179	22029.777363	12726.832184	164338	38100	11
12	1	1	1	12	3	Sample	100	6992.180039	19648.782338	12656.602299	174752	38100	12
13	1	1	1	13	3	Sample	50	2457.177089	15010.349502	12553.172414	185420	38100	13
14	1	1	1	14	3	Sample	25	955.388686	13059.593284	12104.204598	196088	37846	14
15	1	1	1	15	3	Sample	12.5	241.365063	12152.645522	11911.28046	206756	37846	15
16	1	1	1	16	3	Sample	6.25	-390.44379	12002.680348	12393.124138	217170	38100	16
17	1	1	1	17	4	Sample	100	14113.367121	26608.521144	12495.154023	226568	38354	17
18	1	1	1	18	4	Sample	50	4767.368159	16951.034826	12183.666667	237236	38354	18
19	1	1	1	19	4	Sample	25	1699.646603	13782.205224	12082.558621	247650	38608	19
20	1	1	1	20	4	Sample	12.5	652.456382	12936.697761	12284.241379	258572	38100	20
21	1	1	1	21	4	Sample	6.25	255.216366	12625.427861	12370.211494	268478	38100	21
22	1	1	1	22	1058	PosCtrl	100	8413.586147	21293.135572	12879.549425	278384	38354	22
23	1	1	1	23	5	Sample	100	11644.19765	24890.544776	13246.347126	289052	38100	23
24	1	1	1	24	5	Sample	50	3939.619849	16866.89801	12927.278161	299720	38100	24
25	1	1	1	25	5	Sample	25	1348.552874	14209.5	12860.947126	310134	37846	25
