Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	36386.833754	43626.217662	7239.383908	40386	38862	1
2	1	1	1	2	1	Sample	50	26059.195334	33252.059701	7192.864368	51054	38608	2
3	1	1	1	3	1	Sample	25	14430.150969	21166.323383	6736.172414	61468	38862	3
4	1	1	1	4	1	Sample	12.5	6470.268742	12879.027363	6408.758621	71882	38862	4
5	1	1	1	5	1	Sample	6.25	2654.886696	9365.15796	6710.271264	81788	38862	5
6	1	1	1	6	2	Sample	100	40044.5196	47705.864428	7661.344828	92456	38862	6
7	1	1	1	7	2	Sample	50	23682.739192	30972.152985	7289.413793	103124	38862	7
8	1	1	1	8	2	Sample	25	12899.316727	19724.114428	6824.797701	113284	38862	8
9	1	1	1	9	2	Sample	12.5	7231.746243	13873.85199	6642.105747	123698	38862	9
10	1	1	1	10	2	Sample	6.25	3212.970681	10123.674129	6910.703448	133604	38862	10
11	1	1	1	11	1057	PosCtrl	100	44090.841619	52409.791045	8318.949425	144272	38862	11
12	1	1	1	12	3	Sample	100	35833.873392	43825.149254	7991.275862	154940	38862	12
13	1	1	1	13	3	Sample	50	20163.393069	27528.363184	7364.970115	165354	38862	13
14	1	1	1	14	3	Sample	25	10832.540247	17897.151741	7064.611494	175768	38862	14
15	1	1	1	15	3	Sample	12.5	5213.513476	12070.026119	6856.512644	186182	38862	15
16	1	1	1	16	3	Sample	6.25	1707.960654	8600.314677	6892.354023	196088	38862	16
17	1	1	1	17	4	Sample	100	43269.051981	51204.776119	7935.724138	206756	38862	17
18	1	1	1	18	4	Sample	50	29679.997744	37305.04602	7625.048276	217424	38862	18
19	1	1	1	19	4	Sample	25	19020.963476	26423.609453	7402.645977	227838	38862	19
20	1	1	1	20	4	Sample	12.5	8873.826934	15833.900498	6960.073563	237998	38862	20
21	1	1	1	21	4	Sample	6.25	4130.593489	11215.414179	7084.82069	248158	38862	21
22	1	1	1	22	1058	PosCtrl	100	43129.804846	51634.866915	8505.062069	258572	38862	22
23	1	1	1	23	5	Sample	100	38325.369291	46698.716418	8373.347126	269240	38862	23
24	1	1	1	24	5	Sample	50	27858.897161	35773.386816	7914.489655	279654	38862	24
25	1	1	1	25	5	Sample	25	15868.290324	23162.251244	7293.96092	290068	38862	25
26	1	1	1	26	5	Sample	12.5	6884.140161	14057.726368	7173.586207	300482	38862	26
