Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	12144.928744	23154.742537	11009.813793	60706	37338	1
2	1	1	1	2	1	Sample	50	5003.463055	15920.391791	10916.928736	71374	37338	2
3	1	1	1	3	1	Sample	25	2198.600395	14126.823383	11928.222989	82296	37846	3
4	1	1	1	4	1	Sample	12.5	1588.310997	14720.099502	13131.788506	92202	37846	4
5	1	1	1	5	1	Sample	6.25	570.268794	13779.149254	13208.88046	101600	36576	5
6	1	1	1	6	2	Sample	100	14631.349923	28433.400498	13802.050575	112776	37592	6
7	1	1	1	7	2	Sample	50	4508.266006	18345.15796	13836.891954	123444	37338	7
8	1	1	1	8	2	Sample	25	2072.033539	15783.987562	13711.954023	133858	37338	8
9	1	1	1	9	2	Sample	12.5	1252.14578	15239.754975	13987.609195	144526	37084	9
10	1	1	1	10	2	Sample	6.25	625.068142	14610.049751	13984.981609	154686	37846	10
11	1	1	1	11	1057	PosCtrl	100	13714.059967	27861.745025	14147.685057	164592	37592	11
12	1	1	1	12	3	Sample	100	12789.231523	27624.491294	14835.25977	175006	37846	12
13	1	1	1	13	3	Sample	50	5258.593009	19329.165423	14070.572414	185420	37846	13
14	1	1	1	14	3	Sample	25	2391.067936	16169.895522	13778.827586	196342	37846	14
15	1	1	1	15	3	Sample	12.5	619.624824	15070.569652	14450.944828	207518	37846	15
16	1	1	1	16	3	Sample	6.25	320.150168	15145.524876	14825.374707	217678	37846	16
17	1	1	1	17	4	Sample	100	23554.790178	37615.128109	14060.337931	226822	38100	17
18	1	1	1	18	4	Sample	50	9592.302736	23093.702736	13501.4	237490	38100	18
19	1	1	1	19	4	Sample	25	3690.792692	17453.691542	13762.898851	247904	38100	19
20	1	1	1	20	4	Sample	12.5	1835.013948	15604.699005	13769.685057	258064	38100	20
21	1	1	1	21	4	Sample	6.25	935.357214	14213.557214	13278.2	268478	37846	21
22	1	1	1	22	1058	PosCtrl	100	14457.237108	27502.549751	13045.312644	278638	38100	22
23	1	1	1	23	5	Sample	100	18912.919429	31680.013682	12767.094253	289306	37846	23
24	1	1	1	24	5	Sample	50	6433.205318	18508.373134	12075.167816	299974	37846	24
25	1	1	1	25	5	Sample	25	2704.457377	14244.498756	11540.041379	310388	37846	25
26	1	1	1	26	5	Sample	12.5	1325.104109	12515.175373	11190.071264	320802	37846	26
27	1	1	1	27	5	Sample	6.25	356.692229	11402.427861	11045.735632	330200	37846	27
28	1	1	1	28	6	Sample	100	13710.380648	25418.835821	11708.455172	341122	38100	28
29	1	1	1	29	6	Sample	50	4880.007548	16383.432836	11503.425287	351790	38100	29
30	1	1	1	30	6	Sample	25	2043.551184	13250.220149	11206.668966	362204	38100	30
31	1	1	1	31	6	Sample	12.5	781.908149	11699.243781	10917.335632	372618	38100	31
32	1	1	1	32	6	Sample	6.25	349.259899	11241.804726	10892.544828	382524	37846	32
33	1	1	1	33	1059	PosCtrl	100	10935.702042	22424.223881	11488.521839	393192	38100	33
34	1	1	1	34	7	Sample	100	12874.181746	24960.880597	12086.698851	403606	37846	34
35	1	1	1	35	7	Sample	50	4173.274695	15866.348259	11693.073563	414274	37592	35
36	1	1	1	36	7	Sample	25	1785.994159	12953.665423	11167.671264	424688	37592	36
37	1	1	1	37	7	Sample	12.5	814.446903	11881.527363	11067.08046	435356	37846	37
38	1	1	1	38	7	Sample	6.25	205.552899	11407.060945	11201.508046	445008	37846	38
39	1	1	1	39	8	Sample	100	10906.943961	22823.337065	11916.393103	455676	38100	39
40	1	1	1	40	8	Sample	50	3309.25012	14820.312189	11511.062069	466344	37846	40
41	1	1	1	41	8	Sample	25	1344.812558	12403.741294	11058.928736	476758	37846	41
42	1	1	1	42	8	Sample	12.5	411.250051	11300.038557	10888.788506	487172	37592	42
43	1	1	1	43	8	Sample	6.25	122.17147	11060.320896	10938.149425	497840	37846	43
44	1	1	1	44	1060	PosCtrl	100	7967.117756	19313.885572	11346.767816	507492	38100	44
45	1	1	1	45	9	Sample	100	8712.778255	20134.66791	11421.889655	518160	38100	45
46	1	1	1	46	9	Sample	50	2677.820124	13742.325871	11064.505747	528574	37846	46
47	1	1	1	47	9	Sample	25	865.776308	11736.778607	10871.002299	539242	37592	47
48	1	1	1	48	9	Sample	12.5	312.19823	11342.345771	11030.147541	550164	37846	48
49	1	1	1	49	9	Sample	6.25	6.037382	10988.310945	10982.273563	559308	37846	49
50	1	1	1	50	10	Sample	100	5820.277063	16734.621891	10914.344828	569976	38100	50
51	1	1	1	51	10	Sample	50	1474.37744	12182.793532	10708.416092	580898	37846	51
52	1	1	1	52	10	Sample	25	349.127089	11081.766169	10732.63908	591566	37846	52
53	1	1	1	53	10	Sample	12.5	133.557274	10785.421642	10651.864368	602488	37846	53
54	1	1	1	54	10	Sample	6.25	18.523812	10562.783582	10544.25977	612394	37846	54
55	1	1	1	55	1061	PosCtrl	100	5112.164917	16049.022388	10936.857471	621792	38354	55
56	1	1	1	56	11	Sample	100	5175.092091	16281.21393	11106.121839	632460	37846	56
57	1	1	1	57	11	Sample	50	1476.815929	12146.891791	10670.075862	643128	37592	57
58	1	1	1	58	11	Sample	25	457.206596	10797.011194	10339.804598	653542	37846	58
59	1	1	1	59	11	Sample	12.5	126.147341	10305.2301	10179.082759	665226	37846	59
60	1	1	1	60	11	Sample	6.25	-19.64083	10320.522388	10340.163218	674878	37846	60
61	1	1	1	61	12	Sample	100	5288.676831	15827.906716	10539.229885	684276	38100	61
62	1	1	1	62	12	Sample	50	1596.713261	11844.129353	10247.416092	695198	38100	62
63	1	1	1	63	12	Sample	25	606.701167	10752.485075	10145.783908	705358	37846	63
