Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	8680.925845	16983.431592	8302.505747	62230	37846	1
2	1	1	1	2	1	Sample	50	3171.629079	11653.534826	8481.905747	73152	37846	2
3	1	1	1	3	1	Sample	25	1603.784929	10056.695274	8452.910345	83566	37846	3
4	1	1	1	4	1	Sample	12.5	840.460568	9153.389303	8312.928736	93726	37592	4
5	1	1	1	5	1	Sample	6.25	49.266418	8626.799751	8577.533333	103632	38862	5
6	1	1	1	6	2	Sample	100	10859.996989	21420.702736	10560.705747	114300	38100	6
7	1	1	1	7	2	Sample	50	3430.44017	14081.635572	10651.195402	124968	38100	7
8	1	1	1	8	2	Sample	25	1729.152067	12387.034826	10657.882759	135382	38100	8
9	1	1	1	9	2	Sample	12.5	886.534654	11573.350746	10686.816092	145796	37846	9
10	1	1	1	10	2	Sample	6.25	403.922542	11241.221393	10837.298851	155448	37338	10
11	1	1	1	11	1057	PosCtrl	100	10916.050558	22251.848259	11335.797701	166116	38354	11
12	1	1	1	12	3	Sample	100	9762.329902	19939.651741	10177.321839	176530	38354	12
13	1	1	1	13	3	Sample	50	2462.772036	11387.328358	8924.556322	187198	38354	13
14	1	1	1	14	3	Sample	25	1123.166718	9969.955224	8846.788506	198120	38862	14
15	1	1	1	15	3	Sample	12.5	505.41128	9308.436567	8803.025287	208026	38862	15
16	1	1	1	16	3	Sample	6.25	291.341645	9009.85199	8718.510345	218440	38862	16
17	1	1	1	17	4	Sample	100	12677.893755	21874.932836	9197.03908	228346	38608	17
18	1	1	1	18	4	Sample	50	4563.429499	13771.919154	9208.489655	239014	38608	18
19	1	1	1	19	4	Sample	25	1781.331283	10957.866915	9176.535632	249428	38608	19
20	1	1	1	20	4	Sample	12.5	1042.710902	10132.264925	9089.554023	259588	38354	20
21	1	1	1	21	4	Sample	6.25	464.589784	9424.971393	8960.381609	269748	38862	21
22	1	1	1	22	1058	PosCtrl	100	8615.846732	17962.676617	9346.829885	280162	38608	22
23	1	1	1	23	5	Sample	100	11045.988763	20484.276119	9438.287356	290830	38354	23
24	1	1	1	24	5	Sample	50	3974.657283	13360.330846	9385.673563	301498	38354	24
25	1	1	1	25	5	Sample	25	1917.048259	11055.514925	9138.466667	312166	38100	25
26	1	1	1	26	5	Sample	12.5	804.720458	9886.784826	9082.064368	322834	38862	26
27	1	1	1	27	5	Sample	6.25	198.519103	9331.130597	9132.611494	332994	38862	27
28	1	1	1	28	6	Sample	100	11818.322182	21581.034826	9762.712644	342900	38354	28
29	1	1	1	29	6	Sample	50	3931.525673	13766.247512	9834.721839	353314	38608	29
30	1	1	1	30	6	Sample	25	1804.31779	11420.189055	9615.871264	363728	38354	30
31	1	1	1	31	6	Sample	12.5	907.05671	10337.028607	9429.971897	374396	38862	31
32	1	1	1	32	6	Sample	6.25	350.983788	9895.604478	9544.62069	383540	38862	32
33	1	1	1	33	1059	PosCtrl	100	9450.609221	19652.894279	10202.285057	394716	38608	33
34	1	1	1	34	7	Sample	100	13493.392383	24400.293532	10906.901149	405130	38100	34
35	1	1	1	35	7	Sample	50	5097.42268	15492.935323	10395.512644	415798	38100	35
36	1	1	1	36	7	Sample	25	2264.282192	12357.325871	10093.043678	426466	38100	36
37	1	1	1	37	7	Sample	12.5	833.338883	10770.421642	9937.082759	437134	38100	37
38	1	1	1	38	7	Sample	6.25	272.892263	10068.064677	9795.172414	446786	38862	38
39	1	1	1	39	8	Sample	100	11726.966015	22115.733831	10388.767816	457200	38354	39
40	1	1	1	40	8	Sample	50	3523.172217	13708.254975	10185.082759	467868	38354	40
41	1	1	1	41	8	Sample	25	1311.681129	11188.584577	9876.903448	478282	38100	41
42	1	1	1	42	8	Sample	12.5	444.832379	10177.626866	9732.794486	488950	38862	42
43	1	1	1	43	8	Sample	6.25	83.600648	9637.686567	9554.085919	497078	38862	43
44	1	1	1	44	1060	PosCtrl	100	8258.123923	18133.436567	9875.312644	509016	38608	44
45	1	1	1	45	9	Sample	100	8993.731789	19063.676617	10069.944828	519684	38354	45
46	1	1	1	46	9	Sample	50	2763.726625	12344.669154	9580.942529	530352	38354	46
47	1	1	1	47	9	Sample	25	1084.389835	10436.426617	9352.036782	540766	37846	47
48	1	1	1	48	9	Sample	12.5	106.204426	9312.431592	9206.227166	554482	37846	48
49	1	1	1	49	9	Sample	6.25	-88.728961	9102.774876	9191.503836	563626	38862	49
50	1	1	1	50	10	Sample	100	5906.771552	15199.014925	9292.243373	571500	38608	50
51	1	1	1	51	10	Sample	50	1358.272199	10406.2699	9047.997701	582422	38354	51
52	1	1	1	52	10	Sample	25	571.24795	9303.116915	8731.868966	593598	38862	52
53	1	1	1	53	10	Sample	12.5	232.364579	8763.847015	8531.482436	604012	38862	53
54	1	1	1	54	10	Sample	6.25	31.137682	8402.466418	8371.328736	613156	38862	54
55	1	1	1	55	1061	PosCtrl	100	4612.20235	13394.455224	8782.252874	623316	38862	55
56	1	1	1	56	11	Sample	100	4711.086953	13709.100746	8998.013793	633984	38354	56
57	1	1	1	57	11	Sample	50	1284.222397	10111.764925	8827.542529	644652	37846	57
58	1	1	1	58	11	Sample	25	407.98028	8833.24005	8425.25977	655828	38862	58
59	1	1	1	59	11	Sample	12.5	87.262369	8290.322139	8203.05977	666242	38862	59
60	1	1	1	60	11	Sample	6.25	33.707892	8335.967662	8302.25977	676402	38862	60
61	1	1	1	61	12	Sample	100	4566.081987	13247.171642	8681.089655	686054	38608	61
62	1	1	1	62	12	Sample	50	1370.036207	9862.583333	8492.547126	696722	38354	62
63	1	1	1	63	12	Sample	25	431.968194	8847.338308	8415.370115	707136	37592	63
64	1	1	1	64	12	Sample	12.5	216.206613	8345.496269	8129.289655	717550	38862	64
65	1	1	1	65	12	Sample	6.25	-59.892683	8128.884328	8188.777011	727710	38862	65
66	1	1	1	66	1062	PosCtrl	100	3133.203217	11415.451493	8282.248276	737616	38608	66
67	1	1	1	67	13	Sample	100	3092.543464	11597.2699	8504.726437	748284	38354	67
68	1	1	1	68	13	Sample	50	819.447101	9078.272388	8258.825287	758952	38862	68
69	1	1	1	69	13	Sample	25	289.378478	8448.307214	8158.928736	769112	38862	69
70	1	1	1	70	13	Sample	12.5	128.904804	8181.320896	8052.416092	779526	38862	70
71	1	1	1	71	13	Sample	6.25	4.067284	7955.462687	7951.395402	789940	38862	71
72	1	1	1	72	14	Sample	100	3430.645016	11728.835821	8298.190805	800100	38608	72
73	1	1	1	73	14	Sample	50	900.153628	9336.176617	8436.022989	811276	37846	73
74	1	1	1	74	14	Sample	25	362.825219	8448.393035	8085.567816	821690	38608	74
75	1	1	1	75	14	Sample	12.5	164.712584	8058.468905	7893.756322	831850	38608	75
76	1	1	1	76	14	Sample	6.25	83.560542	8089.995025	8006.434483	842010	38608	76
77	1	1	1	77	1063	PosCtrl	100	2451.969249	10597.003731	8145.034483	851916	38608	77
78	1	1	1	78	15	Sample	100	3980.708475	12181.460199	8200.751724	862838	38100	78
79	1	1	1	79	15	Sample	50	928.793326	9181.30597	8252.512644	873760	37846	79
80	1	1	1	80	15	Sample	25	235.429002	8291.518657	8056.089655	884936	37592	80
81	1	1	1	81	15	Sample	12.5	106.919446	8029.83209	7922.912644	894334	38608	81
82	1	1	1	82	15	Sample	6.25	80.297092	7916.446517	7836.149425	904240	38608	82
83	1	1	1	83	16	Sample	100	3505.964385	11647.318408	8141.354023	914654	38354	83
84	1	1	1	84	16	Sample	50	867.389389	9019.14801	8151.758621	925322	38100	84
85	1	1	1	85	16	Sample	25	337.323134	8246.789801	7909.466667	936244	38608	85
86	1	1	1	86	16	Sample	12.5	133.674961	7958.366915	7824.691954	946404	38608	86
87	1	1	1	87	16	Sample	6.25	127.88058	8078.395522	7950.514943	956310	38608	87
