Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	14726.633985	22210.932836	7484.298851	38354	38608	1
2	1	1	1	2	1	Sample	50	5620.022645	13093.965174	7473.942529	49276	38608	2
3	1	1	1	3	1	Sample	25	2343.774961	9322.533582	6978.758621	59690	38608	3
4	1	1	1	4	1	Sample	12.5	586.65579	7641.79602	7055.14023	70104	39116	4
5	1	1	1	5	1	Sample	6.25	427.480383	7544.983831	7117.503448	79756	39116	5
6	1	1	1	6	2	Sample	100	16679.122603	24425.419154	7746.296552	90424	38862	6
7	1	1	1	7	2	Sample	50	5280.921856	13024.485075	7743.563218	101092	38862	7
8	1	1	1	8	2	Sample	25	2037.351999	9734.761194	7697.409195	111506	38862	8
9	1	1	1	9	2	Sample	12.5	748.829233	8638.233831	7889.404598	122428	38862	9
10	1	1	1	10	2	Sample	6.25	329.065003	8332.947761	8003.882759	132588	38862	10
11	1	1	1	11	1057	PosCtrl	100	15277.112764	23733.728856	8456.616092	142240	39116	11
12	1	1	1	12	3	Sample	100	13850.006837	22394.468905	8544.462069	152654	38862	12
13	1	1	1	13	3	Sample	50	4286.911769	12655.261194	8368.349425	163322	39116	13
14	1	1	1	14	3	Sample	25	1618.426977	9907.946517	8289.51954	173736	38862	14
15	1	1	1	15	3	Sample	12.5	483.207488	8712.568408	8229.36092	183642	38862	15
16	1	1	1	16	3	Sample	6.25	52.61737	8344.304726	8291.687356	193802	38862	16
17	1	1	1	17	4	Sample	100	25917.319763	34874.30597	8956.986207	204470	39116	17
18	1	1	1	18	4	Sample	50	10291.881129	19037.251244	8745.370115	215138	39116	18
19	1	1	1	19	4	Sample	25	4176.651553	12532.982587	8356.331034	225552	39370	19
20	1	1	1	20	4	Sample	12.5	1848.008423	10008.171642	8160.163218	235966	39116	20
21	1	1	1	21	4	Sample	6.25	539.767979	8672.108209	8132.34023	245364	39370	21
22	1	1	1	22	1058	PosCtrl	100	15127.073306	23818.723881	8691.650575	256032	39370	22
23	1	1	1	23	5	Sample	100	23701.316598	32599.643035	8898.326437	266954	38862	23
24	1	1	1	24	5	Sample	50	9585.137451	18047.084577	8461.947126	277622	38862	24
25	1	1	1	25	5	Sample	25	3277.739578	11593.233831	8315.494253	288036	38608	25
26	1	1	1	26	5	Sample	12.5	1409.353122	9636.033582	8226.68046	298450	38608	26
27	1	1	1	27	5	Sample	6.25	480.656511	8457.835821	7977.17931	308356	38862	27
28	1	1	1	28	6	Sample	100	14334.004074	22761.705224	8427.701149	319024	39116	28
29	1	1	1	29	6	Sample	50	4040.932596	12500.475124	8459.542529	329692	39116	29
30	1	1	1	30	6	Sample	25	1548.413973	9655.593284	8107.17931	339852	39116	30
31	1	1	1	31	6	Sample	12.5	782.477423	8645.141791	7862.664368	350520	38608	31
32	1	1	1	32	6	Sample	6.25	244.475253	8196.279851	7951.804598	360934	38862	32
33	1	1	1	33	1059	PosCtrl	100	13955.833668	22412.125622	8456.291954	370586	39370	33
34	1	1	1	34	7	Sample	100	6886.012189	15614.145522	8728.133333	381508	38608	34
35	1	1	1	35	7	Sample	50	2208.120175	10372.614428	8164.494253	392176	38354	35
36	1	1	1	36	7	Sample	25	796.17087	8930.343284	8134.172414	402590	37846	36
37	1	1	1	37	7	Sample	12.5	295.705455	8499.753731	8204.048276	413004	38862	37
38	1	1	1	38	7	Sample	6.25	131.636593	8244.997512	8113.36092	423418	38862	38
39	1	1	1	39	8	Sample	100	14264.755155	22961.681592	8696.926437	433324	38862	39
40	1	1	1	40	8	Sample	50	4925.266349	13477.859453	8552.593103	443992	38862	40
41	1	1	1	41	8	Sample	25	1961.431412	10262.171642	8300.74023	454406	38608	41
42	1	1	1	42	8	Sample	12.5	689.312223	8720.949005	8031.636782	464820	38608	42
43	1	1	1	43	8	Sample	6.25	181.513013	8388.929104	8207.416092	474980	38862	43
44	1	1	1	44	1060	PosCtrl	100	12732.367584	21440.951493	8708.583908	484886	38862	44
45	1	1	1	45	9	Sample	100	16625.441122	25632.390547	9006.949425	495554	38608	45
46	1	1	1	46	9	Sample	50	5677.209573	14189.671642	8512.462069	506476	38608	46
47	1	1	1	47	9	Sample	25	2110.567344	10358.827114	8248.25977	516890	38608	47
48	1	1	1	48	9	Sample	12.5	653.832124	8764.802239	8110.970115	527050	38608	48
49	1	1	1	49	9	Sample	6.25	112.879876	7940.174129	7827.294253	536702	36322	49
50	1	1	1	50	10	Sample	100	12960.938995	21375.074627	8414.135632	547624	38862	50
51	1	1	1	51	10	Sample	50	3195.493121	11374.985075	8179.491954	558292	38862	51
52	1	1	1	52	10	Sample	25	1014.692623	9291.251244	8276.558621	569468	38608	52
53	1	1	1	53	10	Sample	12.5	339.311443	8524.711443	8185.4	579628	38608	53
54	1	1	1	54	10	Sample	6.25	32.126565	8174.471393	8142.344828	589534	38608	54
55	1	1	1	55	1061	PosCtrl	100	10751.56158	19206.175373	8454.613793	599186	39116	55
56	1	1	1	56	11	Sample	100	13953.622028	22607.835821	8654.213793	610108	38608	56
57	1	1	1	57	11	Sample	50	3708.687665	12022.731343	8314.043678	620776	38608	57
58	1	1	1	58	11	Sample	25	1199.424858	9279.873134	8080.448276	631444	38354	58
59	1	1	1	59	11	Sample	12.5	182.235461	8264.649254	8082.413793	643636	38608	59
60	1	1	1	60	11	Sample	6.25	-639.981807	8105.001244	8744.983051	653542	38608	60
61	1	1	1	61	12	Sample	100	12918.670695	21442.243781	8523.573086	662178	38862	61
62	1	1	1	62	12	Sample	50	4146.63987	12334.646766	8188.006897	672846	38608	62
63	1	1	1	63	12	Sample	25	1297.098945	9394.834577	8097.735632	683260	38608	63
64	1	1	1	64	12	Sample	12.5	525.390273	8609.962687	8084.572414	693674	38608	64
65	1	1	1	65	12	Sample	6.25	50.11363	8096.391791	8046.278161	704088	38608	65
66	1	1	1	66	1062	PosCtrl	100	9956.089424	18258.284826	8302.195402	713740	38862	66
67	1	1	1	67	13	Sample	100	11516.843489	20156.664179	8639.82069	724154	38100	67
68	1	1	1	68	13	Sample	50	3308.299254	11677.232587	8368.933333	735076	38354	68
69	1	1	1	69	13	Sample	25	1098.2158	9225.420398	8127.204598	745490	38100	69
70	1	1	1	70	13	Sample	12.5	107.011434	8145.802239	8038.790805	758190	38608	70
71	1	1	1	71	13	Sample	6.25	-566.989769	8375.30597	8942.295739	768096	38608	71
72	1	1	1	72	14	Sample	100	13183.206423	21802.881841	8619.675418	776224	38608	72
73	1	1	1	73	14	Sample	50	3721.287562	12104.487562	8383.2	786892	38608	73
74	1	1	1	74	14	Sample	25	1442.014145	9494.777363	8052.763218	797306	38354	74
75	1	1	1	75	14	Sample	12.5	309.025716	8304.793532	7995.767816	810260	37592	75
76	1	1	1	76	14	Sample	6.25	-120.184611	8114.152985	8234.337596	819912	38608	76
77	1	1	1	77	1063	PosCtrl	100	9388.601708	17692.977612	8304.375904	827786	38608	77
78	1	1	1	78	15	Sample	100	8761.664436	17238.940299	8477.275862	838708	38100	78
79	1	1	1	79	15	Sample	50	2561.698919	10534.940299	7973.241379	849630	38100	79
80	1	1	1	80	15	Sample	25	833.50133	8720.926617	7887.425287	860552	37846	80
81	1	1	1	81	15	Sample	12.5	167.840796	8086.174129	7918.333333	870966	38354	81
82	1	1	1	82	15	Sample	6.25	-309.527844	7711.223881	8020.751724	881380	38354	82
83	1	1	1	83	16	Sample	100	12369.485169	20518.319652	8148.834483	890778	38354	83
84	1	1	1	84	16	Sample	50	3276.870484	11528.429104	8251.558621	901446	38100	84
85	1	1	1	85	16	Sample	25	831.438943	8771.78607	7940.347126	912114	37592	85
86	1	1	1	86	16	Sample	12.5	348.955927	8060.843284	7711.887356	922528	37338	86
87	1	1	1	87	16	Sample	6.25	-62.680005	7931.687811	7994.367816	932942	38354	87
88	1	1	1	88	1064	PosCtrl	100	8650.829182	16831.11194	8180.282759	942340	38354	88
89	1	1	1	89	17	Sample	100	7558.004949	15834.777363	8276.772414	953008	38100	89
90	1	1	1	90	17	Sample	50	2100.969652	10247.236318	8146.266667	963930	38100	90
91	1	1	1	91	17	Sample	25	552.64632	8556.701493	8004.055172	975106	38354	91
92	1	1	1	92	17	Sample	12.5	238.168528	8207.297264	7969.128736	985266	38354	92
93	1	1	1	93	17	Sample	6.25	-4.49807	8089.237562	8093.735632	995426	38354	93
94	1	1	1	94	18	Sample	100	6030.383565	14334.631841	8304.248276	1005078	38354	94
95	1	1	1	95	18	Sample	50	1499.879104	9513.345771	8013.466667	1016000	38354	95
96	1	1	1	96	18	Sample	25	193.968108	8488.246269	8294.278161	1031240	38354	96
97	1	1	1	97	18	Sample	12.5	100.390127	8122.006219	8021.616092	1040892	38354	97
98	1	1	1	98	18	Sample	6.25	414.750964	8872.492537	8457.741573	1050290	38354	98
99	1	1	1	99	1065	PosCtrl	100	7689.168398	16051.797264	8362.628866	1056894	38608	99
100	1	1	1	100	19	Sample	100	6505.892983	15032.771144	8526.878161	1067308	38354	100
101	1	1	1	101	19	Sample	50	1787.242477	10070.044776	8282.802299	1077976	38100	101
102	1	1	1	102	19	Sample	25	497.58878	8542.427861	8044.83908	1091184	38354	102
103	1	1	1	103	19	Sample	12.5	108.633642	8026.335821	7917.702179	1104138	38354	103
104	1	1	1	104	19	Sample	6.25	439.29659	8775.083333	8335.786744	1112774	38354	104
105	1	1	1	105	20	Sample	100	4700.918557	12752.983831	8052.065274	1119124	38354	105
106	1	1	1	106	20	Sample	50	1045.836473	8896.268657	7850.432184	1130046	38354	106
107	1	1	1	107	20	Sample	25	422.779302	8071.590796	7648.811494	1140206	38100	107
108	1	1	1	108	20	Sample	12.5	130.103071	7826.995025	7696.891954	1150620	38100	108
109	1	1	1	109	20	Sample	6.25	-71.052505	7578.595771	7649.648276	1160780	38100	109
110	1	1	1	110	1066	PosCtrl	100	6931.865208	14849.10199	7917.236782	1170940	38608	110
111	1	1	1	111	21	Sample	100	6283.398919	14167.440299	7884.041379	1181354	38100	111
112	1	1	1	112	21	Sample	50	1648.130271	9512.914179	7864.783908	1192276	38100	112
113	1	1	1	113	21	Sample	25	454.274086	8103.628109	7649.354023	1203452	37084	113
114	1	1	1	114	21	Sample	12.5	75.991645	7822.10199	7746.110345	1213612	38100	114
115	1	1	1	115	21	Sample	6.25	-98.429233	7660.432836	7758.862069	1223772	38100	115
116	1	1	1	116	22	Sample	100	6407.177509	14257.400498	7850.222989	1233424	38100	116
117	1	1	1	117	22	Sample	50	1534.473743	9298.25995	7763.786207	1244092	37846	117
118	1	1	1	118	22	Sample	25	594.852942	8131.940299	7537.087356	1254760	37592	118
119	1	1	1	119	22	Sample	12.5	212.268185	7711.095771	7498.827586	1265174	38100	119
120	1	1	1	120	22	Sample	6.25	-163.197272	7203.793532	7366.990805	1275080	38100	120
121	1	1	1	121	1067	PosCtrl	100	7495.695745	15085.868159	7590.172414	1284986	38354	121
122	1	1	1	122	23	Sample	100	5455.845977	13060	7604.154023	1295400	37084	122
123	1	1	1	123	23	Sample	50	1458.487434	8827.682836	7369.195402	1306068	37084	123
124	1	1	1	124	23	Sample	25	378.962361	7820.746269	7441.783908	1317752	38100	124
125	1	1	1	125	23	Sample	12.5	-47.385727	7390.248756	7437.634483	1328166	38100	125
126	1	1	1	126	23	Sample	6.25	-298.786945	7536.800995	7835.58794	1339342	38100	126
127	1	1	1	127	24	Sample	100	9111.889882	16675.109453	7563.21957	1347470	37592	127
128	1	1	1	128	24	Sample	50	2610.925742	10044.521144	7433.595402	1358138	37592	128
129	1	1	1	129	24	Sample	25	393.945505	7911.327114	7517.381609	1370838	37846	129
130	1	1	1	130	24	Sample	12.5	54.940024	7155.179104	7100.23908	1383792	37846	130
131	1	1	1	131	24	Sample	6.25	1097.944906	8938.982587	7841.037681	1393190	37846	131
132	1	1	1	132	1068	PosCtrl	100	8152.736912	15506.356965	7353.620053	1399286	37592	132
133	1	1	2	1	25	Sample	100	7708.342735	14818.487562	7110.144828	38608	49022	133
134	1	1	2	2	25	Sample	50	2211.020827	9515.880597	7304.85977	49530	49276	134
135	1	1	2	3	25	Sample	25	1069.337605	8079.783582	7010.445977	60198	49530	135
136	1	1	2	4	25	Sample	12.5	320.454186	7576.608209	7256.154023	70358	49784	136
137	1	1	2	5	25	Sample	6.25	30.975442	7313.115672	7282.14023	79756	49784	137
138	1	1	2	6	26	Sample	100	6383.624181	14078.212687	7694.588506	90424	49276	138
139	1	1	2	7	26	Sample	50	1949.790796	9595.924129	7646.133333	101092	49530	139
140	1	1	2	8	26	Sample	25	872.15362	8560.767413	7688.613793	111506	49530	140
141	1	1	2	9	26	Sample	12.5	105.144167	8100.15796	7995.013793	122428	49530	141
142	1	1	2	10	26	Sample	6.25	123.643944	8097.35199	7973.708046	132588	49530	142
143	1	1	2	11	1057	PosCtrl	50	6951.06731	15257.356965	8306.289655	142240	49530	143
144	1	1	2	12	27	Sample	100	5673.757917	14186.445274	8512.687356	152654	49530	144
145	1	1	2	13	27	Sample	50	1275.835469	9736.391791	8460.556322	163576	49530	145
146	1	1	2	14	27	Sample	25	714.131332	9019.205224	8305.073892	173482	49530	146
147	1	1	2	15	27	Sample	12.5	213.260299	8428.940299	8215.68	181864	49784	147
