Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	30512.128658	37177.983831	6665.855172	64770	38862	1
2	1	1	1	2	1	Sample	50	18642.050257	25017.526119	6375.475862	75438	38608	2
3	1	1	1	3	1	Sample	25	8959.524858	15218.706468	6259.181609	85852	38608	3
4	1	1	1	4	1	Sample	12.5	3732.343747	9941.773632	6209.429885	96266	38608	4
5	1	1	1	5	1	Sample	6.25	1361.318803	8019.808458	6658.489655	105918	38608	5
6	1	1	1	6	2	Sample	100	34082.53643	41634.722637	7552.186207	116840	38608	6
7	1	1	1	7	2	Sample	50	16526.98227	23655.508706	7128.526437	127508	38608	7
8	1	1	1	8	2	Sample	25	8211.742983	15189.021144	6977.278161	137922	38608	8
9	1	1	1	9	2	Sample	12.5	4146.63649	10963.753731	6817.117241	148082	38608	9
10	1	1	1	10	2	Sample	6.25	1784.087228	8867.195274	7083.108046	157734	38608	10
11	1	1	1	11	1057	PosCtrl	100	37130.952333	45131.053483	8000.101149	168656	38608	11
12	1	1	1	12	3	Sample	100	29160.535186	36962.721393	7802.186207	179324	38862	12
13	1	1	1	13	3	Sample	50	13753.532175	21020.424129	7266.891954	189738	38862	13
14	1	1	1	14	3	Sample	25	6417.678478	13569.140547	7151.462069	200152	38862	14
15	1	1	1	15	3	Sample	12.5	2668.4927	9793.267413	7124.774713	210566	38862	15
16	1	1	1	16	3	Sample	6.25	1120.446303	8329.216418	7208.770115	220218	38862	16
17	1	1	1	17	4	Sample	100	40376.406897	48849	8472.593103	231140	38862	17
18	1	1	1	18	4	Sample	50	25008.759298	33100.993781	8092.234483	241554	38862	18
19	1	1	1	19	4	Sample	25	15071.660216	22832.61194	7760.951724	252222	38862	19
20	1	1	1	20	4	Sample	12.5	6466.846492	13918.552239	7451.705747	262382	38862	20
21	1	1	1	21	4	Sample	6.25	2886.42913	10426.323383	7539.894253	272542	38862	21
22	1	1	1	22	1058	PosCtrl	100	36178.96701	44616.868159	8437.901149	283210	38608	22
23	1	1	1	23	5	Sample	100	34743.087759	43297.899254	8554.811494	293624	38862	23
24	1	1	1	24	5	Sample	50	23374.446706	31566.449005	8192.002299	304038	38862	24
25	1	1	1	25	5	Sample	25	12441.717482	20631.457711	8189.74023	314452	38862	25
26	1	1	1	26	5	Sample	12.5	3445.890513	11418.920398	7973.029885	324866	38862	26
27	1	1	1	27	5	Sample	6.25	2381.93661	10385.649254	8003.712644	334772	38608	27
28	1	1	1	28	6	Sample	100	31587.113287	40166.023632	8578.910345	345440	38862	28
29	1	1	1	29	6	Sample	50	14887.117953	23252.297264	8365.17931	356108	38608	29
30	1	1	1	30	6	Sample	25	7902.625914	15953.205224	8050.57931	366522	38862	30
31	1	1	1	31	6	Sample	12.5	4022.2535	11881.205224	7858.951724	376682	38608	31
32	1	1	1	32	6	Sample	6.25	1889.532184	9731.5	7841.967816	386588	38608	32
33	1	1	1	33	1059	PosCtrl	100	36568.155327	45556.865672	8988.710345	397510	38608	33
34	1	1	1	34	7	Sample	100	19701.282398	28589.4801	8888.197701	407924	38608	34
35	1	1	1	35	7	Sample	50	8397.311631	16815.047264	8417.735632	418592	38608	35
36	1	1	1	36	7	Sample	25	3627.777269	11778.609453	8150.832184	428752	38608	36
37	1	1	1	37	7	Sample	12.5	1433.417788	9477.335821	8043.918033	439674	38862	37
38	1	1	1	38	7	Sample	6.25	562.008629	8584.992537	8022.983908	448818	38862	38
39	1	1	1	39	8	Sample	100	35122.14668	43906.38806	8784.241379	459994	38608	39
40	1	1	1	40	8	Sample	50	18891.255275	27363.577114	8472.321839	470408	38608	40
41	1	1	1	41	8	Sample	25	10303.09059	18331.2699	8028.17931	480822	38608	41
42	1	1	1	42	8	Sample	12.5	4169.328495	11744.875622	7575.547126	491236	38608	42
43	1	1	1	43	8	Sample	6.25	1917.379791	9859.58209	7942.202299	501142	38608	43
44	1	1	1	44	1060	PosCtrl	100	37886.029079	46852.868159	8966.83908	511810	38608	44
45	1	1	1	45	9	Sample	100	28162.219412	36930.028607	8767.809195	522224	38608	45
46	1	1	1	46	9	Sample	50	15619.512944	24007.322139	8387.809195	532638	38608	46
47	1	1	1	47	9	Sample	25	7273.233248	15229.074627	7955.841379	543052	38608	47
48	1	1	1	48	9	Sample	12.5	2939.633702	10601.762438	7662.128736	553466	38608	48
49	1	1	1	49	9	Sample	6.25	1307.919746	9091.487562	7783.567816	563118	38608	49
50	1	1	1	50	10	Sample	100	36144.539484	44603.399254	8458.85977	574294	38608	50
51	1	1	1	51	10	Sample	50	19391.218554	27694.108209	8302.889655	584708	38608	51
52	1	1	1	52	10	Sample	25	9038.44252	17047.090796	8008.648276	595122	38608	52
53	1	1	1	53	10	Sample	12.5	4736.706313	12491.007463	7754.301149	605536	38608	53
54	1	1	1	54	10	Sample	6.25	2163.129756	9902.695274	7739.565517	615188	38608	54
55	1	1	1	55	1061	PosCtrl	100	38292.321453	47141.919154	8849.597701	626110	38608	55
56	1	1	1	56	11	Sample	100	36406.673555	45357.257463	8950.583908	636778	38608	56
57	1	1	1	57	11	Sample	50	22918.773254	31437.768657	8518.995402	647192	38608	57
