Order	Main.Row	Main.Col	Sub.Row	Sub.Col	Series.Id	Spot.Type	Dilution	Net.Value	Raw.Value	Background.Value	Spot.X.Position	Spot.Y.Position	Original.Order
1	1	1	1	1	1	Sample	100	39093.980245	46251.936567	7157.956322	38862	38608	1
2	1	1	1	2	1	Sample	50	29124.699846	35572.467662	6447.767816	49530	38354	2
3	1	1	1	3	1	Sample	25	18788.099262	24644.975124	5856.875862	59944	38608	3
4	1	1	1	4	1	Sample	12.5	9726.950163	15324.524876	5597.574713	70358	38608	4
5	1	1	1	5	1	Sample	6.25	4862.304237	10594.313433	5732.009195	80264	38608	5
6	1	1	1	6	2	Sample	100	38391.24234	44841.497512	6450.255172	90932	38608	6
7	1	1	1	7	2	Sample	50	22771.760911	28776.257463	6004.496552	101346	38354	7
8	1	1	1	8	2	Sample	25	13421.919283	19246.723881	5824.804598	111760	38354	8
9	1	1	1	9	2	Sample	12.5	7617.816718	13400.871891	5783.055172	122174	38354	9
10	1	1	1	10	2	Sample	6.25	3474.30736	10058.263682	6583.956322	132080	38608	10
11	1	1	1	11	1057	PosCtrl	100	40234.668588	48388.995025	8154.326437	142748	38354	11
12	1	1	1	12	3	Sample	100	33956.133822	41205.65796	7249.524138	153416	38608	12
13	1	1	1	13	3	Sample	50	20661.405653	27008.665423	6347.25977	163830	38608	13
14	1	1	1	14	3	Sample	25	12059.367988	18011.18408	5951.816092	174244	38608	14
15	1	1	1	15	3	Sample	12.5	5717.29777	11467.440299	5750.142529	184658	38608	15
16	1	1	1	16	3	Sample	6.25	2509.58034	8720.437811	6210.857471	194564	38608	16
17	1	1	1	17	4	Sample	100	43091.602136	50591.558458	7499.956322	205232	38608	17
18	1	1	1	18	4	Sample	50	30694.619566	37418.727612	6724.108046	215646	38608	18
19	1	1	1	19	4	Sample	25	21067.832724	27361.446517	6293.613793	226060	38608	19
20	1	1	1	20	4	Sample	12.5	11188.38094	17496.748756	6308.367816	236474	38608	20
21	1	1	1	21	4	Sample	6.25	5372.79228	12397.049751	7024.257471	246634	38608	21
22	1	1	1	22	1058	PosCtrl	100	39921.143515	49022.058458	9100.914943	257048	38608	22
23	1	1	1	23	5	Sample	100	40172.848036	48016.542289	7843.694253	267462	38608	23
24	1	1	1	24	5	Sample	50	30677.849134	37540.253731	6862.404598	277876	38608	24
25	1	1	1	25	5	Sample	25	19209.24855	25485.094527	6275.845977	288290	38608	25
26	1	1	1	26	5	Sample	12.5	10117.883239	16588.58209	6470.698851	298958	38608	26
27	1	1	1	27	5	Sample	6.25	5276.640796	11861.507463	6584.866667	308864	38608	27
28	1	1	1	28	6	Sample	100	40345.682313	47942.054726	7596.372414	319532	38608	28
29	1	1	1	29	6	Sample	50	26422.253388	33508.885572	7086.632184	329946	38608	29
30	1	1	1	30	6	Sample	25	17243.283153	23977.156716	6733.873563	340360	38608	30
31	1	1	1	31	6	Sample	12.5	9444.024919	15999.404229	6555.37931	350774	38608	31
32	1	1	1	32	6	Sample	6.25	4924.618451	12337.864428	7413.245977	360680	38608	32
33	1	1	1	33	1059	PosCtrl	100	39866.848756	49563.58209	9696.733333	371348	38354	33
34	1	1	1	34	7	Sample	100	41839.898945	50764.501244	8924.602299	382016	38608	34
35	1	1	1	35	7	Sample	50	31141.11942	38765.937811	7624.818391	392430	38608	35
36	1	1	1	36	7	Sample	25	20296.461571	27255.932836	6959.471264	402844	38608	36
37	1	1	1	37	7	Sample	12.5	10955.661537	17793.962687	6838.301149	413258	38608	37
38	1	1	1	38	7	Sample	6.25	5181.222379	12163.613184	6982.390805	423164	38608	38
39	1	1	1	39	8	Sample	100	41063.242992	49536.930348	8473.687356	433832	38608	39
40	1	1	1	40	8	Sample	50	30129.895059	37645.131841	7515.236782	444246	38608	40
41	1	1	1	41	8	Sample	25	19865.583119	26953.0199	7087.436782	454660	38608	41
42	1	1	1	42	8	Sample	12.5	10593.487331	17188.439055	6594.951724	465328	38608	42
43	1	1	1	43	8	Sample	6.25	5428.392237	12509.670398	7081.278161	475234	38608	43
44	1	1	1	44	1060	PosCtrl	100	40485.818228	50204.558458	9718.74023	485648	38608	44
45	1	1	1	45	9	Sample	100	37752.8003	46041.322139	8288.521839	496316	38608	45
46	1	1	1	46	9	Sample	50	26715.454083	34208.031095	7492.577011	506730	38608	46
47	1	1	1	47	9	Sample	25	15293.99047	22412.041045	7118.050575	517144	38608	47
48	1	1	1	48	9	Sample	12.5	8114.111889	14748.323383	6634.211494	527558	38608	48
49	1	1	1	49	9	Sample	6.25	3745.55971	10675.302239	6929.742529	537464	38608	49
50	1	1	1	50	10	Sample	100	41838.163742	49728.961443	7890.797701	548132	38608	50
51	1	1	1	51	10	Sample	50	27438.728212	34959.371891	7520.643678	558546	38608	51
52	1	1	1	52	10	Sample	25	16642.922199	23500.186567	6857.264368	568960	38608	52
53	1	1	1	53	10	Sample	12.5	9080.681137	15557.993781	6477.312644	579374	38608	53
54	1	1	1	54	10	Sample	6.25	4123.198645	11305.012438	7181.813793	589280	38608	54
55	1	1	1	55	1061	PosCtrl	100	40489.519832	50084.579602	9595.05977	599948	38608	55
56	1	1	1	56	11	Sample	100	36271.33842	44331.324627	8059.986207	610616	38608	56
57	1	1	1	57	11	Sample	50	23536.404478	30970.271144	7433.866667	621030	38608	57
58	1	1	1	58	11	Sample	25	13493.722199	20459.853234	6966.131034	631698	38608	58
59	1	1	1	59	11	Sample	12.5	6889.196878	13438.049751	6548.852874	642112	38608	59
60	1	1	1	60	11	Sample	6.25	2989.851741	9832.318408	6842.466667	651764	38608	60
61	1	1	1	61	12	Sample	100	42564.283453	51299.478856	8735.195402	662432	38608	61
62	1	1	1	62	12	Sample	50	31588.437253	39755.839552	8167.402299	673100	38608	62
63	1	1	1	63	12	Sample	25	21503.264076	28978.753731	7475.489655	683514	38608	63
64	1	1	1	64	12	Sample	12.5	11421.128676	18393.802239	6972.673563	693928	38608	64
65	1	1	1	65	12	Sample	6.25	5940.08655	13239.868159	7299.781609	703834	38608	65
66	1	1	1	66	1062	PosCtrl	100	41195.098705	50837.376866	9642.278161	714502	38608	66
67	1	1	1	67	13	Sample	100	39905.369609	48733.856965	8828.487356	724916	38100	67
68	1	1	1	68	13	Sample	50	29409.607257	37076.186567	7666.57931	735330	38100	68
69	1	1	1	69	13	Sample	25	18777.002247	26205.878109	7428.875862	745744	38100	69
70	1	1	1	70	13	Sample	12.5	9986.314925	16999.848259	7013.533333	756158	38100	70
71	1	1	1	71	13	Sample	6.25	5115.736987	12257.987562	7142.250575	766318	38100	71
72	1	1	1	72	14	Sample	100	39928.578658	48224.233831	8295.655172	776732	38100	72
73	1	1	1	73	14	Sample	50	27894.728058	35581.672886	7686.944828	787400	38100	73
74	1	1	1	74	14	Sample	25	18185.962764	25382.645522	7196.682759	797814	38100	74
75	1	1	1	75	14	Sample	12.5	9719.94861	16776.792289	7056.843678	808228	38100	75
76	1	1	1	76	14	Sample	6.25	4663.579679	11882.595771	7219.016092	818134	38100	76
77	1	1	1	77	1063	PosCtrl	100	41076.696423	51056.528607	9979.832184	828802	38100	77
78	1	1	1	78	15	Sample	100	44810.868811	55034.300995	10223.432184	839470	38862	78
79	1	1	1	79	15	Sample	50	36279.598413	45381.96393	9102.365517	849884	38608	79
80	1	1	1	80	15	Sample	25	25945.791808	34029.543532	8083.751724	860298	38608	80
81	1	1	1	81	15	Sample	12.5	16433.907977	23732.393035	7298.485057	870712	38608	81
82	1	1	1	82	15	Sample	6.25	8457.671839	15873.083333	7415.411494	880872	38608	82
83	1	1	1	83	16	Sample	100	41322.759221	50143.977612	8821.218391	891286	38608	83
84	1	1	1	84	16	Sample	50	29232.41713	37771.180348	8538.763218	901954	38608	84
85	1	1	1	85	16	Sample	25	19346.073881	27245.473881	7899.4	912114	38608	85
86	1	1	1	86	16	Sample	12.5	9831.569729	17319.585821	7488.016092	922782	38608	86
87	1	1	1	87	16	Sample	6.25	5063.076746	12624.481343	7561.404598	932688	38608	87
88	1	1	1	88	1064	PosCtrl	100	41360.932604	51088.217662	9727.285057	943356	38608	88
89	1	1	1	89	17	Sample	100	36560.309556	45285.0199	8724.710345	953770	38608	89
90	1	1	1	90	17	Sample	50	25339.460688	33158.118159	7818.657471	964184	38608	90
91	1	1	1	91	17	Sample	25	14351.414316	21641.628109	7290.213793	974598	38608	91
92	1	1	1	92	17	Sample	12.5	7222.706948	14462.621891	7239.914943	985266	38608	92
93	1	1	1	93	17	Sample	6.25	3586.153534	10837.008706	7250.855172	995172	38608	93
94	1	1	1	94	18	Sample	100	37691.297384	46192.359453	8501.062069	1005840	38608	94
95	1	1	1	95	18	Sample	50	25175.640075	33345.134328	8169.494253	1016254	38608	95
96	1	1	1	96	18	Sample	25	15360.212841	22796.578358	7436.365517	1026668	38608	96
97	1	1	1	97	18	Sample	12.5	7742.543712	14949.470149	7206.926437	1037082	38608	97
98	1	1	1	98	18	Sample	6.25	3343.822697	10765.753731	7421.931034	1046988	38608	98
99	1	1	1	99	1065	PosCtrl	100	41130.647461	51009.458955	9878.811494	1057656	38608	99
100	1	1	1	100	19	Sample	100	36236.084869	45131.997512	8895.912644	1068070	38608	100
101	1	1	1	101	19	Sample	50	25520.963287	33308.606965	7787.643678	1078738	38608	101
102	1	1	1	102	19	Sample	25	15164.482536	22485.69403	7321.211494	1089152	38608	102
103	1	1	1	103	19	Sample	12.5	7813.584002	14945.834577	7132.250575	1099566	38608	103
104	1	1	1	104	19	Sample	6.25	3902.573598	10895.803483	6993.229885	1109472	38608	104
105	1	1	1	105	20	Sample	100	39840.197907	47804.154229	7963.956322	1120140	38608	105
106	1	1	1	106	20	Sample	50	25835.005524	33400.19403	7565.188506	1130554	38608	106
107	1	1	1	107	20	Sample	25	16601.806999	23854.243781	7252.436782	1140968	38608	107
108	1	1	1	108	20	Sample	12.5	8556.345308	15378.58209	6822.236782	1151382	38608	108
109	1	1	1	109	20	Sample	6.25	3973.33468	11035.911692	7062.577011	1161288	38608	109
110	1	1	1	110	1066	PosCtrl	100	41164.173778	50433.063433	9268.889655	1171956	38608	110
111	1	1	1	111	21	Sample	100	38447.652951	47194.682836	8747.029885	1182370	38608	111
